Название;Жанр;Участники;Синглы;Альбомы;Дата основания;Описание;Координаты.x;Координаты.y;Студия.Название;Студия.Адрес;Лучший альбом.Название;Лучший альбом.Длительность
Hfgvvbiqcgakgun;PROGRESSIVE_ROCK;1;8;11;1991-08-13;Oiqaemvxbmoflyqwwkxbcyyewngodbjpwjpgbmb Thkfpcmfax;62.414514;49;;;Xkuvtcqadxlwejr;55
Cgf Acpjkxzueyf;;1;41;18;1982-01-02;Kv Bkikaauyyvnyblqnuzjtaaakvpkafsyfhgrnvkjjkuouxuz;59.024947;90;Raoyyjieozrq;Zjxfaugoleimzvgtpqfbbejkgfaawk;Eqgogff Gnxxvuy;84
Byqgdla Lyibmbo;POST_PUNK;8;27;19;1981-08-22;Ljsxorphcrfvsdmrrwrrdyoksshdstkbxhqcim Kfznjviugls;177.301443;-37;Mlknxmlykri ;Lkfzxrcjevxgdvonnlthaiyzcnempa;;
Diifzviwwhemwhf;BRIT_POP;1;22;14;1960-09-28;Vzthlpvqtgiexucotfczltkjpdbpureqbqylvdxtceadybpghx;155.218581;-86;;;Apkqtpsdxlolfyi;101
Ktcbnktxqfntjpn;POST_PUNK;5;18;13;1997-01-13;;78.037622;64;Syiztpzj Fxb;Wqfkcmjqfsjbmnfedovcuicrnxpmhl;;
Fdit Bsccfsvaxh;PROGRESSIVE_ROCK;5;1;9;1998-01-09;;-152.763241;1;Iyucfcxqiphp;Fomursdybptarsobceupkxyjbqlpxo;Zafoclbiqnhhhx ;113
Gcbbcfoqihwcwtv;;2;28;12;1978-07-14;Bylztcgcoemktcgsxrviimeifpjxjphzagxhuzymedyfuesxsb;-154.482634;-38;;;Ovyacuhhbimnknc;94
Bwlqnxfciwoggtr;BRIT_POP;1;8;11;1963-05-11;Ptyvcshntrykum Kfslkposzdqlrwpnfptsybnbjrelggnrbhj;-50.261472;62;Ndpopqwxgrww;Epzspobbraknvpldeuthfdbfvocuil;Lrtbznmpbzwflrl;84
Amqvhuvdhhhohlm;PROGRESSIVE_ROCK;8;19;15;1991-10-10;Etwvvuwsrftqnndqmpwonsqhrejlchhgjohltuqvmxwqsudopa;87.308314;-89;Kdcnizpdxehi;Txprcahpexrvuukiodgfmwaqkhllva;Qpvnytrbamwmqtx;148
Dwi Bxbuqa Yior;BRIT_POP;3;28;17;1966-02-13;Diqhnlmynzouakmnfajuvzypabxw Jfigdqngvofsmjfxtqmuw;-174.950887;-82;Nnouzovxczcq;Ouimkymxkzbdeoalxvsltmrvwkxcmx;Zis Gvfxnnbaxbq;149
Asvqwdqecskyeft;;7;27;2;2022-07-16;Bbfiiegmmjikphplcrcvecyqtupojrwwhyyspzepucjxodbcdq;-170.244028;-11;Dluhjgedxmrx;Dwsyocgdojrplgmkcvudgxjlhqzyei;Bkjtjiicaedfnfz;45
Br Hkgnzoydyjpm;POST_PUNK;7;47;15;2000-07-05;Clchopibljyibhnlkaxhfyz Vurggjyirlncitsrxohmxlqndi;-88.474829;-63;Jjggglxnurje;Prxuqgszotzmokctstmzithnnuzxka;;
Hqgrkbqrfohbdcb;PROGRESSIVE_ROCK;8;18;3;1961-06-20;Uvqyefbxpvnmdewqjohtqwpsdvqqssrlvxggjfskzzwvt Pzzd;101.706113;-90;Kjkpyrhuhknp;Tdeupqzvpiwtrsxlamdaopgewxixbh;Logilwbmdgnombm;97
Rwxkiwpceynaqoa;BRIT_POP;;25;19;1962-04-02;;-125.683734;43;;;Rjvnppjphjxgzwt;178
Oyllsjpznoritir;BRIT_POP;3;2;11;2012-01-27;Awi Oxxdipmrbsbxzstysnrctusfwgstftjfcxtoxbtehaywwh;-115.879049;79;;;Zqqhstuqoddombp;151
Awiuwsmnwvmemca;BRIT_POP;3;50;12;2008-06-05;Vengewgjxljwnxkwvalevuascybvqggtxabkjasicwyobpjtvw;-124.073786;33;Zcrqaomitpyp;Kigusvvrcgwsttykzvuyohubxdtwtv;;
Jhdmhdsnyqenlqf;POST_PUNK;7;20;8;2021-08-09;Buldpznxlebvf Qdazljlpon Rgrbaecukkppdgrrqbktughos;69.237732;57;Pbeewktwnhbw;Kpxlahpjdhkhwcmtnwabanoapafvhj;Izwxhtwdpzccgfq;108
Mcdiszbfbxpmbdg;BRIT_POP;1;43;3;1966-01-01;Uwscdhnmalzmmyhgoznhsjcexouonkyahxndkijiv Zkykllmc;-155.181736;48; Ebxwobdryfd;Pdvivynslqcizmjhodndwuosuhksoz;Wnodraqacgubhxf;149
 Zwwnapcktoxybn;POST_PUNK;8;31;14;1994-05-04;Xvwfbcgdjetnlpakctflhpawgdwihmxhtqfkkvoylyzfmnsrky;-49.952898;33;;;Xhwzxnrsbiddztz;99
Bsxizobjpxmzaeb;POST_PUNK;6;15;19;2007-04-03;Jryeihomgwwgnvqymkvhpwd J Ttpmouskxjdquhu Yphrpttd;178.463823;54;;;Pzqginxgmvupzgq;169
Nwitvnialhltvzs;PROGRESSIVE_ROCK;4;34;3;2018-11-06;Fehatgwlpeielgqmsgzgyfmrpdfylchndrulpuzphf Udticfl;-110.906559;-61;Sxnvoqkxcivd;Hoocrq R Mqqrihkumjjxklplrfibi;Vzmdsbildadaols;141
Qbqduyqiqqjcgwu;BRIT_POP;4;45;17;2012-01-15;Jogpunvtogps Immp Usixuyymubk Uvtkfbgvlrnvylllqcot;-81.987124;73;Xmvhzeqkiibd;Rcpzsfhshjhstimwbkizftrqluvobq;Tfjxdtpfyuqddae;32
Pyikggb Wxdyjkw;PROGRESSIVE_ROCK;6;16;12;2001-06-24;L Qxuibseaabkdclvqnridaegcjjbfgqlxfdhczbncyfbyltub;-24.315640;68;Ttnztyvbmpug;Gnxecjpywgabixqkrbkhbrsqvdvvzd;Zdywslciytnvyif;41
Tryamlddqofkfeb;PROGRESSIVE_ROCK;5;5;7;2016-07-01;Yzaouhkefawctqpiehyyvmfc Unmvsejpdammwtqjshixzwgxo;-152.149670;-3;Jzemsyqlxbxm;Brvwcvdvkrlnzfuauffwkdfihgm Zr;Bsalvbpstgbyuah;38
Wlzmilcrapqtawm;BRIT_POP;2;1;3;2021-01-12;Lrmfknqkmndsfgdvbdgctsglajhhmhypjnuubsnluhejedwocl;104.883924;19;Jyz Atbjwwvs; Dhwhrznddvxjefucxsbtebkpqnsqe;Xeatrxkkhwatoen;142
Qhcfgdrafuuuoig;POST_PUNK;8;27;1;1974-01-22;Twdxjddgywgwenqckawiiudmrazmsnwfteernywqijot Ouhqq;72.043700;-2;Khvikepkkmhj;Wnbaunnhzebaxuankrxwjmtyzaa Lr;Kaabmsinmicfcvm;32
Iszyuyvcpiilrsv;PROGRESSIVE_ROCK;8;16;2;1979-05-01;Djbdqnxfkacangillgnwdiwgumjhldofkgeyqzwchomlqmyfgx;178.105416;-89;;;Zhxdopgztzpbjaw;56
Xhcvxyngbwmprj ;PROGRESSIVE_ROCK;4;1;1;1962-07-22;Cgoiqkhtdqibftmypfaurjv Nzrzzrrnensefsucovmbtrfgis;-65.937526;53;Jffobqaopc V;Mgfugdrsqvquypjqhyflodgsbqqumo;Crqmmmkvlfrnkgq;34
Twhrqwjgazecgpt;BRIT_POP;5;37;10;1966-01-24;Qahqyjuzvsvzzsvadmdbotomplkbbjrbqcxtddanovwzyladsr;-90.057463;87;Lpbbgxhnvecf;Ehylgyekgmwkprazdaqnnqtpzcwaeg;Fvpykhtukvgqegv;59
Kdrbyvobmydvxoz;BRIT_POP;4;23;6;1971-02-10;Cytamripexpmrybfly Zjjfmkxqlihruhdjyelmduaaxdjdqbo;76.708572;28;Oiyxkci Skdl;Ysizxfpdewyxthsuxrtihjchmpgo F;Xgrymtgxdhtnids;116
Tbxfelwdwybvnpd;POST_PUNK;4;9;6;2014-12-27;T Zdptytfbmbvytkscxremmgzwigvubtqibsdxepderqupvivp;-123.490185;-78;Zfsq Hvzuree;Ivfnyfbykqiyieroutgticjs Zculh;Ajvpxlmeflbftyy;90
Brkenjaecjejrkc;PROGRESSIVE_ROCK;2;39;7;2012-05-21;Uvkpeyfifjoczhhqcfznwdrzesaruhfuliymix Jtzoleyvahi;151.557072;55;Tnwotjxqetht;Deqrlxganjtlpdrqxiqyfkdhxofszc;Sadrpykyealu Dn;47
Chllnfawslgqopu;POST_PUNK;2;2;18;2020-10-25;Fqgqkjrbpymjfnmkidgoipbdovysmuyrabrtuctcezlmlnhmuk;-17.922302;-26;;;Zegcltfptzopiou;125
Nmpbggopgnqizbp;PROGRESSIVE_ROCK;7;36;20;2023-07-23;Hbfc Yrsrv Gbkedwtfgwuptsowgx Boqovw Fjjuaiyvifmhl;-88.470269;-79;Omfugyeoqpok;Aodtz Ngbsdjygtdtrdxftgkkxcmyh;;
C Jdyeaaovaogvx;BRIT_POP;6;42;10;2016-04-02;Quckqsbxagivxxzdziqpuiyeuoprbbnfnkoct Hcegktoggioj;130.600850;-7;Hgitjkngzeva;Jzcceivmbsnjpxnyvx Tgulhcuyucn;Tcguaxhdgwwlrhz;85
Ovqbjavkknsyclt;PROGRESSIVE_ROCK;8;17;6;2000-03-10;Xsfwfricopfdktenyolanudpedrj Zeulmutsnyflwupakhewz;53.421039;-34;Oqvyandsghnx;Mvfcprhvewrgyenwfewtptzeucpewk;;
Bykfd Forsaddmt;PROGRESSIVE_ROCK;1;7;12;2018-04-27;Zqfbvbufmym Wpdgmmbpidwnirgqfewuevygqebm Svigavmnk;-164.251043;8;;;Fgiphzngougaurs;159
Mmujjvtkbeamlpj;POST_PUNK;5;26;2;1991-02-06;Xunkgpfphpkvjvpnfgyxkfwvdruihuskyazzuwlqfxspjhxvic;165.548386;-13;Tyaywpfizyov;Jsmiaaisovncnbstoyzudebeyparzj;Ocasmpqgnwxfopw;105
Iolyaaafqntcoeu;PROGRESSIVE_ROCK;6;28;5;1997-05-17;;-95.935035;70;Bzutbufposox;Rigfyunl Eyhidmfffmyvdvzimqxro;Wlxfdpvgllgdfsq;113
Cycgjxbhlqlwjzl;POST_PUNK;2;16;16;2000-11-13;Mnvfzlahpvgphsokcapodaejrmuwjnevwojgxhyhmthpayieka;-12.671593;83;Seghqkriwzkm;Xsbmmgcsbrkyrzvthslbhkkeezphep;Ikzvop Oinrsfve;158
Tirfnccovnk Dyg;PROGRESSIVE_ROCK;4;8;4;1980-08-07;Nbafoikxjcojypzzdrpwejcbvqedudyzvwqtsgowgdickmvbgj;94.841868;-51; Hsfehaspocn;Nwvxpwhtpzbphggtuxtxayehfhiulb; Juwkgdpsqoxhan;80
Vigoredkfvmpihk;POST_PUNK;5;33;18;1984-03-22;Hguoevnjhw Martmilekbjhmzt Fsyfujvdbsqyxqzcoyeztpr;-138.427059;-71;;;Onmsudbcjsqkngw;172
Lvna Aykmrgrtpk;BRIT_POP;4;31;10;1972-06-25;Ktutzfrzqxtwaqeaulqlyqdsfttzzfbassyz Dpjurhbuvuutf;145.192148;-70;;;Jryphacmrhewdpr;79
Ktqiejevkqerdiu;BRIT_POP;1;24;6;1967-03-17;Uizsizrgdhhupudgvjxgaabdjsyzjnvoewcscmcmcrycfyrewn;-56.450949;-7;Gzkkolrehlei;Jnmbskpihnugqdhl Nvgmswz Ulkuk;Jgmthjksrsqvmec;147
Zwqbhtdajwsnzho;BRIT_POP;7;26;15;1976-07-21;Ooplactbshxakyjpwraelyvnhzmqzlhuywemkqulnmrvdfyckc;100.581598;32;Qmfzqinxepvj;Lcqrzknlsiomv Hxbxqxzmzundkpkd;Tjedouyceusozcn;108
Htczjcwrxxjgeyq;POST_PUNK;4;32;7;2012-11-13;Crdthuxueheubljaacnmirkvydpvikzfhqehocaqjqnqnntkgs;20.493654;-53;Uhgrxsbpozjq;Rfmbxzbyuepquukojqnfmxhbmyfqde;Cyybafjwgoxoywo;90
Xwciuajbsypqpcs;BRIT_POP;7;34;9;2000-12-17;Nfokbwjochxatozvrhiehfflamjmtrfxmebdnwfkcsxvj Heig;-94.110810;-70;Hghomespptqp;Knqpcbftexlupbktjcab Xhkjqbdni;;
 Slstdshfancgvz;BRIT_POP;3;7;17;1990-09-04;Joop Qvqxkncnvclkmzympnrrkfgvctlgowhgyvampivutpblt;-129.764183;-90;Rmhnvxqkomhf;Ntiveosyiraqilulubsisoiqxitrdi;Juqaqnndfywzatd;91
Qu Jbswnvqsexrp;PROGRESSIVE_ROCK;5;2;6;2019-07-24;Hydoqlkppuqetzhziaobpqmbco Hrfqprwadpacvobdeeciepx;99.054514;-60;Nhfwjxylnodf;Ivhhpxiwxsrddamcbcsbvvzwddbico;Vhvcxsiuuwvbfpl;147
Pvilogxstpmcwvt;BRIT_POP;5;34;2;1977-06-02;Vqieilsvkrfiqvnbf Zawfyuwvgiuxdvqjqzprmmmdgrrkxsbd;-56.222489;-49;Fjzmbv Ymbvf;Kwmykntjrrwwrhxrabqjnrmyeedybw;Ojkghnxlkbxquyw;161
Blenqcwnieavnmh;BRIT_POP;2;7;13;2014-03-18;Xcaorrwyvbinnyouneeyxvmt Gzbnwwmjvxdzaqufitelyhcwu;-20.750807;-78;Aqbjnshukpg ;Bnfgrbjpykophjoapqvzozpsxkwpdy;;
Sfqclleuhqdznof;;;48;11;1987-06-25; Qudh Ofshlniydqqgaoycgwozddxbhecrneyxpmcq Nlxrlst;-33.199510;-11;Tegckyonneul;Xrsllpnmpcxwemmoxhykmabcaubcnl;;
Purjftckndwcgmh;PROGRESSIVE_ROCK;7;18;19;2015-04-06;;-176.490580;-29;Kfbbvyvwevdu;Yhjzuydkrxwrmibupxaddvibqtipxh;Kflbemhxnjxexwt;165
Mthgghslffsnn V;POST_PUNK;;19;3;1996-11-20;Hwtxkzzvldfuzvkrcnbrjpd Oycnotgibrmaclcvzgqajxvrvh;22.364768;57;Xqbdpqghefvl;Ituvlmzzlzbqxblvlbxvsmalypxjcp;Dimgobljjuamxmj;160
Qbomdrdfeeytnci;POST_PUNK;4;6;19;1963-10-05;Cpgcukyiyvsxgivgejkkymclxbpsbnivdtdppwuegvqekrhiao;-70.581427;-89;Zsngaewzgxpb;Vkzehgvcfndbyoi Wjvci Oxubtnkp;Lhdcrwqtresjvmm;149
Idnyfvrcljichoo;PROGRESSIVE_ROCK;3;8;20;1987-05-28;Hsjoxqlstbpvsqqznjmtakqvcqwadrtuglctkoeomldvaucfkj;17.187548;-57;Qzjozjibsjhl;Swsqcijxcdbjlp Bzdtugfehjhmexa;;
Lafsyetpcspriqm;POST_PUNK;5;35;6;2011-04-23; Ijkiligbazeomoteffxrthgzpsgxdjykfwjbhcqlom Slfdif;-3.446026;-75;Fkuqneeixpo ;Xnmgdnp Xzxjiicwrbdwvmgzctenwa;Odflyvvljtoeqyi;107
B Vmsndrijqpqrt;BRIT_POP;1;46;8;1999-09-15;Enszwkccrbzbgdgtbwuqynrvpxeekzodwstkrjlkftppkllctk;-167.740421;-60;Zzjtxdxtmphv;Ge Eohcskrlclpzotodewmz Vwqwku;;
Hvpgezvromoabbx;PROGRESSIVE_ROCK;;17;9;1986-10-13;Ibzywaqslopcytlghjtwodyrqsqxaqzcszwvtxrvictrwelpkz;-40.045006;-88;Iszfuozaynba;Pkkmnmebkbxayooeobkvflmdbtzhwo;Ftocpwsparhagaq;102
Cvkddaoyzlqpfoa;PROGRESSIVE_ROCK;4;23;19;2023-05-24;Pkgxiynzloquramwnooenowlqnxzwmtqnwqolcthdhxuqrcgkk;16.247745;60;Ynpmhzxbpebb;Ejgrrzvbphsshvvjfkcrkeeipjqdfz;Dputjofqmtqsmja;109
Gberkzhzpqljobo;POST_PUNK;4;41;16;1983-01-16;Dpgnechqkuqpbgjaveqegapeo Wxecahdrxltiiuykthxvqald;-124.783903;5;Gktechrldbdn;Uslironbjgwkrryfsqlmbexslkbnve;Uhlxttbfiyixjyt;96
Lfwqkbn Jjmceor;BRIT_POP;6;6;18;1984-12-20;Mkonquvcmrqsytlkjvnhbxbzqlnqytwzjynewcbehmyq Mehli;65.691358;-21; Lqlvwlgcalh;Mghwfmhhvktzoxdtqqdofzgdzh Frw;Wamhvefrumjwbpm;109
Gyedzembkeelqnk;POST_PUNK;7;41;19;1993-08-17;;53.447022;48;Uzjnzmfvnmrj;Hdzlytcxvgaqxdtom Jhqmdtnhfget;Lmudn Jjunuhiyg;146
Xsdpseuxdwimnmq;POST_PUNK;7;26;3;1975-06-11;Kokxzlkrkfavzvaqfdqljuzaowqlydqzpkytuceyq Uodijoua;127.358880;42;;; Nrgjmqpqvacrpk;98
Flnwiddo Zfaixp;BRIT_POP;;46;9;1964-05-13;Srnpsdivqmjirdjmeyvthdulokrviiqfqziwpyzgvmjripxpvd;-61.698888;53;Unhquzfhvpyi;Cspdio Jgfucm Hqqrptfoxydbpzmu;Dbaurfvmzgiuz O;30
Xemtcagkzqspyka;POST_PUNK;1;39;11;1998-11-09;Pupnuvsjjxvrsljecdswoeofqrxxbhczpazbchcdamheofajae;-171.504569;-55;Mhocqncst Wo;Jllogixcqvqwytltxeqmjgctlcpouh;Tzqocortdvtplmt;100
Brhwqwysjjqbnor;POST_PUNK;8;24;5;1989-10-07;Jrzprwzerodmbhniljbjmpepzotfebfdafimpf Rivuj Jpjmb;-81.512022;40;Gnlrqzkqtkxw;Vfvrqfqqslbzlqodxgvxuwpenirkuj;Eqhrfcuuslzjmhq;152
Qsbrivulocycggq;POST_PUNK;5;43;2;1967-06-21;Rswzncgmcjlhsmdtgrihtxlytycfxmohrfrozx Pjhvnnrpziz;144.616129;46;;;;
Gncgpkeiwzagnyf;PROGRESSIVE_ROCK;2;31;13;2008-09-25;K Fodixmoyncszjyehnoypuldjvnxvvahbvdtgw Claaarddmc;-41.577631;-73;Yuqnjpfsp Eq;Zcbnereykjsnrnwgblnvkhnoqahjtf;Ikyefznbfiaofub;126
Uhmzugnycyjyhlm;BRIT_POP;7;46;3;2015-08-10;Exashxcshodmwbzgjldgjrswdjtpztzjkrupzzerpxxnudhcqx;-53.263383;-35;;;Arzxnryaftvtacf;30
Zmnytbzthvfbxhy;POST_PUNK;1;8;10;1976-07-24;Kjflqurlf Xftyruyedjcelmtodqgyludxfmvycceuhgclzfjl;153.532853;60;Eqfctxcfspcu;Nsejqgmmsiescegbqswinyuaaicsvb;Qmhhtwcrukgjjgm;66
Madmexysjccvmfw;BRIT_POP;3;13;5;1999-08-13;;132.400371;15;Qb Bpqmovoal;Mtyysiwnfziiapaqeuwqbpjokwvetd;Snxmwopgrcfaeco;58
Vmavewhvpvjphvn;POST_PUNK;1;45;2;1994-10-02;;136.900172;-18;Vnpssadeykwz;Mateiskxexkjsbhiqtccgllrzuqtzq;Rqcushodvwvjkrc;54
Jhrcenzsnbpnjbz;BRIT_POP;6;27;6;2023-10-24;Vctnaqtvpifzhsgkeptykqyxykosqbihlhzotavogxxjkyudxn;-40.826792;-16;Cxd Cvxxvxkv;Gxhslupufkhygdsknkesdvbgfedvqe;Nfaydoiqhimtkeq;150
Lbtrmxilrv Zmdm;BRIT_POP;8;35;14;1983-10-04;Bonoruagcutzqbzgtlcujznfhxthlrnfhgjisktsxohqknkcvb;-112.927477;-74;Wqhbavrwogcj;Hxqscamp Ieocqjvrghvhdftflgqfg;Gvgkqbtjhgmr Ia;83
Mblvhajzsslctcg;;;41;14;1982-03-05;Sgsmgzgiaonjvnghbhomhufxycsednuwosoqmgmwjolwnpntsk;143.223118;-9;Lgfe Vmfozjm;Dqcysghoemxjacjprwputviqkahxjn;Hkvveernrpjjmik;146
B Qwfeemhpziqeo;BRIT_POP;6;20;4;1984-03-07;Hhsrdgsdfvgsxnprelbrowplxyrlcmktzzjzmgkgahtiuoqsvb;-87.039138;64;Qsjqxzefsrtt;Lwcecuyagdtlhemvjmcgkuqaxjcfby;Icoulodxkwsqong;166
Aljwnxalfjvkfty;;;38;2;1965-06-23;Quqlmouqwyazilspceswuallxyvyifquemtwstmgwnhwebkbbd;30.763659;72;Helbssuoueld;Jvmwgroqzdvgazrlaffjpkyxkmcyhe;;
Wayfcbxowvpoynz;PROGRESSIVE_ROCK;1;10;8;1995-12-09;Jcfvxlsneupeaiyjqnriqacyiqdvobqodhzjkvcsieajotsjdk;-17.155532;-43;Twmajcsgbbon;Ftbjqapftwevxvbvdvfoeotcjixmhf;Crcalyautfi Qop;67
Yoiakttmnpajuwz;;5;43;19;2014-02-16;Pflyblyrosoi Mtwfbvcpt Dgxqfwkgjrdniubadffoesoekxd;86.225121;47;;;;
 Yyoypgmankefvr;POST_PUNK;8;3;3;1966-10-06;Jvfhqtsazdlhtnfubuqjqdllrkbsbzlfhobavbqeziazmuwcet;135.485034;66;Yfkxkbiyfklc;Xllzqrnodriyzbzgyycfgfizfohuts;Cstdqwqsikmodby;104
Tnsscriyfhlwcrb;PROGRESSIVE_ROCK;4;46;13;2004-07-01;Stzbkvrslzupilbujgrrqnwp Dbdxqlbepozsdx Pmjfktmnpi;133.317327;34;Dhdqryqhydxs;Pfxfpunmn Srgwldbhirsjihxuelgm;Jagubldowhmqito;41
Z Syptbbhgoutgt;BRIT_POP;4;18;14;1996-04-17;;-64.391868;71;Mftcmkrtmoip;Cckemciscpdkjafsrvrxtovyzbergi;Qpmdajmxyuypubj;64
Dkopgnozcfommsz;PROGRESSIVE_ROCK;3;6;8;2004-07-11;Wnpuygdcgirfjwnammqqngchjidcbxbiinvus Mqscakxxvdbt;177.592543;5;Vffyorpsspnt;Rdsinuivhcnkdnxupx Tfgupbcxjli;Otvjmtylrzpgquk;161
Ihvwwdolfuerilq;POST_PUNK;1;10;16;1974-08-16;;-90.039153;83;Ypjehxluhfek;Feneptrarzdgfhyzlyhliwbiyyhwgh;Pozatcpxiicmovi;73
Zyqigbwzvdailde;POST_PUNK;6;37;7;1968-06-05;Yipoenkbnxxcahgmsphijhgzwojxqqjgcwehtplatgyioesqwe;9.792687;34;Cnymemdqkfmj;Laacinpuivhtzoupzetkxayzcjdfjp;Pykejsdkndluvnu;113
Mjdbovcayjfadfk;POST_PUNK;4;31;7;1984-03-13;Igaokqlyaiskpsewgtcfkcvumbijgkpddwqajaddtylbcycmvx;146.623472;23;Ehotmwqabmzh;Xhsbjszbvvtsnisnmvaawegmvnmqfj;Coixydtslwga Hq;117
Tuyeqwnohgmdlow;PROGRESSIVE_ROCK;4;47;4;1996-01-07;Glrmyceonrhjbrrfkvbgjlstnsfovehgzmqqwgregituoblazy;-121.936831;79;Ketwcyrwcmoe;Dbni Peazhxbttkbenhdpscqmxlpgx;Ycqlkbllgfawlfi;69
Cvkafgfdyhqkyew;BRIT_POP;4;30;15;1995-01-24;Absfpnxsrblujokifljwiyhjujraignndlimlqunqnzri Oxqy;31.851378;-25;Syotspmijuza;Upyokmhudvhiqsrl Fgreamhinvlwf;Xggghbzdlzpbphi;174
Cfjbpiclnyqkqtc;PROGRESSIVE_ROCK;8;3;17;2019-06-24;Np Hfufwqlpqc Pfadbcnsloaxdnsfdfuabtovmtsqmobxajrv;-168.469713;6;Qawhbapfgsjf;Lmwomlrdcifd Qrf Htcujbmjpo Yz;Ubgqakubbzevmfr;84
Nzakhktu Okcisd;BRIT_POP;;21;18;1978-09-02;Qfamrpqwlgnhpnzitpwjprakfsuteaihhxqjtqnszwyjiexfdf;84.797032;33;Ilpzrsktzilb;Bxlvztbkzt Gbqvshwycoqflmixrci;Afweqhqanbdmhyd;85
Liqtjnufvvxsmpd;POST_PUNK;1;43;10;2006-05-11;Hrfbnoaibh Eqiltpziukhauiurtvpjjrnxmmejvbmhdowxgzj;107.008205;-69;;;Azhqoiouhaqympp;72
Jgjupmgpzyzvckb;BRIT_POP;4;10;13;1967-05-15;Jt Bwseinilnwimaewwhjkpsxaelenxwqnaxanpihxsqxjdvyj;114.026440;-1;Rytrzxaogujk;Jvurqqgegv Gcfuilmzhvgwwnkoytp;Dxodysqrnomcvpo;168
Dtjuuverkactxzs;PROGRESSIVE_ROCK;2;48;18;1974-06-18;Wtccfjfiogagqkprcqqjtylqkytksxkrdsgazyfntcepncvgub;29.152435;38;Rnzqypuypbmo;Dovslryqqzhkjmxfrvdptazuzqrggx;Cuoiigrsess Cro;34
Kpjpjdofpywwyex;POST_PUNK;1;50;20;2007-03-27;Ludvkwplnskrkflvczjymxhqcbtzfgqemztydzhwqalooxywhz;161.925298;-82;Iwayqjftwahy;Mlolkhjjujpzedqwxwrqcyz Aunguf;Mlcdotenvhzrwkg;91
Cxawiyzcjbudkiu;POST_PUNK;3;10;12;1969-05-28;J Yifnkrfetusbrwazugattbokkn Lcwjztnmulgrrybid Tui;83.580061;-88;Ixuhhxipboty;Bvmlrmzmrcydfqatxfwjhqcwxagfzq;Uxonthxzgncoppc;134
Gpfr Jgtqckqlgw;BRIT_POP;2;12;10;2014-10-12;Cutzahkqjltymeuagehanvjgoryfcpgtzfeobmbot Onmnqwsm;-75.364904;60;;;Kjzcfeteaurbvxf;155
